module title,abbreviation,module coordinator,module offered by,ects,method of grading,completion of modules,duration,module level,other prerequisites,contents,intended learning outcomes,courses,method of assessment,allocation of places,additional information,workload,teaching cycle,referred to in lpo i,module appears in,addititional information
E-Business Strategies,12-M-BUC-182-m01,,Faculty of Business Management and Economics,5,numerical grade,,,,,"The module provides an overview of strategic implications of digital technologies at the level of organisations, 
industries and value networks. To this end, concepts and frameworks from strategic technology management are 
applied to digital innovations and illustrated with numerous examples. In the accompanying exercise, case stu-
dies of well-known digital companies and their business models are analysed and discussed.","- Understand theoretical concepts of strategy development and implementation in the context of digital techno-
logies.
- Apply different frames of reference and understand their strengths and weaknesses in the context of practical 
application.
- Transfer the concepts to real business situations",V (2) + Ü (2),,"40 places. (1) Should the number of applications exceed the number of available places, places will be allocated 
by lot among all applicants irrespective of their subjects. (2) Places on all courses of the module with a restricted 
number of places will be allocated in the same procedure. (3) A waiting list will be maintained and places re-allo-
cated by lot as they become available.",,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), exchange program Business Management and Economics (2022), , , data record Master (120 ECTS) Management - 2018, , Management",--
Communication in Business and Economics,12-M-DM2-182-m01,Holder of the Professorship of Economic Journalism,Faculty of Business Management and Economics,5,numerical grade,,,,,"The lecture names introductory relevant communication models. Furthermore, the theoretical models of PR are 
discussed. The added value of communication for companies, business, politics, and science is explained. The 
discrepancy between journalism and PR is discussed, as well as the basic elements, instruments, goals, and 
forms of PR. The preparation and implementation of press meetings, conferences, campaigns, and events will 
be systematically explained, and the central aspects of corporate communications will be outlined. The exerci-
se deals with the practical implementation of journalistic styles in the various media and provides an overview of 
the possibilities and concepts of PR work across different media and target groups.","After participating in the module courses, students are able to understand and apply PR and its forms, elements 
as well as methods and in a holistic context. Students learn professional competencies in the field of (business) 
communication with regard to reflection, argumentation, and exchange as a PR consultant in different areas. In 
addition, students will be able to apply concrete PR instruments in practice and prepare them professionally.","V (2) + Ü (2)
Module taught in: English",,--,,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), , , data record Master (120 ECTS) Management - 2018, , Master's degree (1 major) Economathematics (2021), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
Digital Marketing II,12-M-EC2-182-m01,"Holder of the Junior Professorship of Digital Marketing and 
E-Commerce",Faculty of Business Management and Economics,5,numerical grade,,,,,"Students are required to put themselves in the following business situation:
A large corporation has just recruited you and your team members as the new heads of the marketing depart-
ment in one of the firm’s divisions in order to manage its general and digital marketing activities. Specifically, 
it is your task to manage the corporation’s digital product portfolio, segmentation and positioning as well as its 
marketing mix strategy over a period of 10 years.
Structure of the class:
• Long-term business simulation game (details see below) that students will play in groups
• Lectures and discussion rounds on strategic approaches to succeed over a duration of 10 periods","Studierende lernen in diesem Kurs, zentrale Konzepte des Online- und Offline-Marketings gezielt und bezogen 
auf die jeweilige Unternehmenssituation anzuwenden. Der Kurs bildet somit die Brücke zwischen Theorievermitt-
lung und entsprechende Anwendung in der Unternehmenspraxis.","V (2) + Ü (2)
Module taught in: English",,--,,150 h,--,--,"Master's degree (1 major) Business Management (2015), Master's degree (1 major) International Economic Policy (2015), , , data record Master (120 ECTS) Management - 2018, , Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
E-Commerce II,06-MK-MKW1-Ex-182-m01,"Dean of the Faculty of Business Management and Econo-
mics",Institute of Human Computer Media,5,numerical grade,,,,,"E-commerce is a highly relevant field for almost all types of companies. However, the ecommerce approaches 
and strategies applied by companies differ strongly depending on the respective firm context (e.g., in terms of in-
dustry, types of customers, types of products). In this seminar, students analyze the specific e-commerce strat-
egy of a selected firm. In doing so, they evaluate the strategies’ current and future potential and make suggesti-
ons for improvements and for addressing future trends. Furthermore, each lecture session will contain short pre-
sentations where the students (in groups) will either apply selected lecture topics to real-world business cases 
or present the core aspects of research articles dealing with e-commerce topics in general.","This class enables students to gain insights into real-life e-commerce strategies and to train their abilities in as-
sessing business strategies.","V (2)
Module taught in: English",,--,,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), exchange program Business Management and Economics (2022), , , data record Master (120 ECTS) Management - 2018, , Management",--
Mass Media Processes and Effects,12-GPU-182-m01,"holder of the Professorship of Media and Business Com-
munication",Faculty of Business Management and Economics,5,numerical grade,,,,,No information on contents available.,No information on intended learning outcomes available.,V (2) + Ü (2),,"12 places. (1) Should the number of applications exceed the number of available places, places will be allocated 
by lot among all applicants irrespective of their subjects. (2) Places on all courses of the module with a restricted 
number of places will be allocated in the same procedure. (3) A waiting list will be maintained and places re-allo-
cated by lot as they become available.",,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , , data record Master (120 ECTS) Management - 2018, , , Management",--
Business Software 1: IS-based Enterprise Management,10-I=PM-182-m01,holder of the Chair of Business Management and Business,Institute of Computer Science,5,numerical grade,,,,,"Content:
This module provides students with an overview of the structure of a business information system (SAP Business 
ByDesign) in depth.
Outline of syllabus:
1. Integrated information systems: integration, standard software, system architecture
2. Working with standard business software
3. Consulting in integrated information systems: project management, project organisation, presentation skills
Description:
The lecture will be accompanied by an exercise that will present students with an opportunity to access, in small 
groups, the enterprise resource planning system operated by the Chair in its ERP laboratory and to work with the 
software, dealing with a wide variety of business processes.
If you would like to register for this course, please submit an application to the consultants (cover letter, CV, cer-
tificates; please also specify your degree programme and student ID number).","After completing the course ""Business Software 1"", students will be able to
(i) understand an ERP system in its depth;
(ii) understand the interaction of business processes;
(iii) execute business tasks and processes in an ERP system independently (after participation in the practice 
lessons).",V (2),,"20 places. Should the number of applications exceed the number of available places, places will be allocated as 
consideration. (2) The remaining places will be allocated to students of other subjects. (3) When places are allo-
cated in accordance with (1) and (2) and the number of applications exceeds the number of available places, pla-
ces will be allocated by lot among applicants from this group.",,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management","--


data record Master (120 ECTS) Management - 2018"
Professional Project Management,10-I=PRJAK-162-m01,holder of the Chair of Computer Science III,Institute of Computer Science,5,numerical grade,,,,,"Project goals, project assignment, project success criteria, business plan, environment analysis and stakeholder 
management, initialisation, definition, planning, execution/control, finishing of projects, reporting, project com-
munication and marketing, project organisation, team building and development, opportunity and risk manage-
ment; conflict and crisis management, change and claim management; contract and procurement management, 
quality management, work techniques, methods and tools; leadership and social skills in project management, 
program management, multiproject management, project portfolio management, PMOs; peculiarities of software 
projects; agile project management/SCRUM, combination of classic and agile methods.","The students possess practically relevant knowledge about the topics of production management and/or pro-
fessional project management. They are familiar with the critical success criteria and are able to initiate, define, 
plan, control and review projects.",V (4),,--,,150 h,--,--,"Master's degree (1 major) Computer Science (2018), Master's degree (1 major) Management (2018), Master's degree (1 major) Computational Mathematics (2019), Master's degree (1 major) Mathematics (2019), , , data record Master (120 ECTS) Management - 2018, , Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020), Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management","Focuses available for students of the Master's programme Informatik (Computer Science, 120 ECTS credits): SE, 
IT, IS, ES, LR, HCI, GE."
Project - Current Topics in Computer Science,12-M-TMA-182-m01,Dean of Studies Informatik (Computer Science),Faculty of Business Management and Economics,5,numerical grade,,,,,Completion of a project task (in Teams).,The project allows participants to work on a problem in computer science in teams.,P (4),,--,,150 h,--,--,"Master's degree (1 major) Computer Science (2016), Master's degree (1 major) Computer Science (2017), Master's degree (1 major) Computer Science (2018), Master's degree (1 major) Management (2018), Master's degree (1 major) Computational Mathematics (2019), Master's degree (1 major) Mathematics (2019), Master's degree (1 major) Media Communication (2019), Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020), Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020), , , data record Master (120 ECTS) Management - 2018, , , Management","Focuses available for students of the Master's programme Informatik (Computer Science, 120 ECTS credits): AT, 
SE, IT, IS, ES, LR, HCI, GE."
Topics in International Marketing,12-M-ITM-161-m01,"Dean of the Faculty of Business Management and Econo-
mics",Faculty of Business Management and Economics,5,numerical grade,,,,,"This module serves the purpose of transferring credits from
• courses taken at other German or non-German universities
• additional courses offered on a short-term basis
• courses offered by new Chairs that are yet to be included in the FSB (subject-specific provisions)
The holders of the respective Chairs will ensure that the courses are eligible for credit transfer.","As a result of accrediting multiple kinds of modules, a description of acquired skills cannot be given.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Management (2022), , , data record Master (120 ECTS) Management - 2018, , , Management",--
IT-Management,12-M-MADM-182-m01,,Faculty of Business Management and Economics,5,numerical grade,,,,,"Content:
This course provides students with an in-depth overview of aims, tasks and appropriate methods of IT manage-
ment.
Outline of syllabus:
1. Organisation and distinction
2. IT strategy
3. IT organisation
4. Management of IT systems
5. Enterprise Architecture Management
6. IT project management
7. IT security
8. IT law
9. IT controlling
Reading:
• Hofmann/Schmidt: Masterkurs IT-Management, Wiesbaden.
• Tiemeyer: Handbuch IT-Management, Munich.
• Hanschke: Strategisches Management der IT-Landschaft, Munich.","After completing the course ""IT Management"", students will be able to
1. overview the different aspects to be considered regarding a purposeful IT management;
2. understand and apply appropriate methods and tools;
3. independently perform system search and selection in a team project (only after participation in the practice 
lessons).",V (2) + Ü (2),,--,,"150 h


data record Master (120 ECTS) Management - 2018

 
Management",--,--,"Master's degree (1 major) Economathematics (2016), Master's degree (1 major) Business Management (2015), Master's degree (1 major) China Business and Economics (2016), Master's degree (1 major) International Economic Policy (2015), Master's degree (1 major) China Language and Economy (2016), Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , , data record Master (120 ECTS) Management - 2018, , , Management",--
Managerial Analytics & Decision Making,12-M-MUS-161-m01,"Holder of the Chair of Logistics and Quantitative Methods 
in Business Administration",Faculty of Business Management and Economics,5,numerical grade,,,,,"The course ""Managerial Analytics & Decision Making"" discusses quantitative methods to structure and solve 
a diverse set of management problems and demonstrates the application of modern methods with the help of 
multiple case studies.","After completing this course students can
(i) better understand and structure problems;
(ii) apply important theoretical and empirical frameworks to practical problems that evaluate good and bad deci-
sion making;
(iii) implement advanced analytical methods to support decision making under risk.","V (2) + Ü (2)
Module taught in: English",,--,,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), , , data record Master (120 ECTS) Management - 2018, , Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
Mobile and Ubiquitous Systems,12-M-PROM-182-m01,,Faculty of Business Management and Economics,5,numerical grade,,,,,"The module provides an overview of technologies and business applications of mobile & ubiquitous computing. 
Concepts and applications are illustrated using numerous examples from mobile telecommunications to the In-
ternet of Things. In the accompanying exercise, corresponding case study texts are analysed and discussed.","- Understand the technological basics of mobile & ubiquitous computing.
- Analysing business applications in processes, products/services and business models
- Apply the concepts learned to real-life problems in a business context",Ü (2) + V (2),,--,,150 h,--,--,"Master's degree (1 major) Economathematics (2016), Master's degree (1 major) Business Management (2015), Master's degree (1 major) China Business and Economics (2016), Master's degree (1 major) International Economic Policy (2015), Master's degree (1 major) Media Communication (2016), Master's degree (1 major) China Language and Economy (2016), Master's degree (1 major) Media Communication (2018), Master's degree (1 major) Management (2018), Master's degree (1 major) China Business and Economics (2019), , , data record Master (120 ECTS) Management - 2018, , Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) Media Communication (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
Project Management and Control,12-M-PDBUS1-182-m01,"Holder of the Chair of Business Management, Management 
Accounting and Control",Faculty of Business Management and Economics,5,numerical grade,,,,,"The module focuses on the discussion and critical examination of instruments and methods used in the context 
of project management and control within enterprises. Both classic and agile approaches to project manage-
ment are considered. It covers characteristic features and structures of projects, their possible success factors, 
methods and instruments of control and management of projects in various project phases. The theoretical basis 
as well as potential applications of these instruments are discussed.","Initially, knowledge about fundamental requirements concerning instruments of project management and con-
trol is acquired. What is more, the module conveys knowledge about strengths and weaknesses and therewith 
fields of application and limits of commonly used instruments and methods of practitioners. Competences wi-
thin the configuration and development of the project management and control as well as skills within the practi-
cal use are obtained.",S (2),,--,,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), , , data record Master (120 ECTS) Management - 2018, , Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
